LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME_OF_PROD,VALUE_PROD,Flag Codes
GRC,OILPROD,TOT,KTOE,A,2002,150.379,
GRC,OILPROD,TOT,KTOE,A,2003,109.367,
GRC,OILPROD,TOT,KTOE,A,2004,107.544,
GRC,OILPROD,TOT,KTOE,A,2005,81.114,
GRC,OILPROD,TOT,KTOE,A,2006,75.645,
GRC,OILPROD,TOT,KTOE,A,2007,67.443,
GRC,OILPROD,TOT,KTOE,A,2008,53.772,
GRC,OILPROD,TOT,KTOE,A,2009,72.911,
GRC,OILPROD,TOT,KTOE,A,2010,104.81,
GRC,OILPROD,TOT,KTOE,A,2011,89.316,
GRC,OILPROD,TOT,KTOE,A,2012,85.67,
GRC,OILPROD,TOT,KTOE,A,2013,63.797,
GRC,OILPROD,TOT,KTOE,A,2014,58.329,
GRC,OILPROD,TOT,KTOE,A,2015,56.506,
GRC,OILPROD,TOT,KTOE,A,2016,160.404,
GRC,OILPROD,TOT,KTOE,A,2017,129.417,
HUN,OILPROD,TOT,KTOE,A,2000,1134.155,
HUN,OILPROD,TOT,KTOE,A,2001,1063.27,
HUN,OILPROD,TOT,KTOE,A,2002,1048.295,
HUN,OILPROD,TOT,KTOE,A,2003,1113.199,
HUN,OILPROD,TOT,KTOE,A,2004,1057.244,
HUN,OILPROD,TOT,KTOE,A,2005,930.61,
HUN,OILPROD,TOT,KTOE,A,2006,884.561,
HUN,OILPROD,TOT,KTOE,A,2007,837.297,
HUN,OILPROD,TOT,KTOE,A,2008,809.877,
HUN,OILPROD,TOT,KTOE,A,2009,789.715,
HUN,OILPROD,TOT,KTOE,A,2010,732.808,
HUN,OILPROD,TOT,KTOE,A,2011,657.93,
HUN,OILPROD,TOT,KTOE,A,2012,647.946,
HUN,OILPROD,TOT,KTOE,A,2013,598.027,
HUN,OILPROD,TOT,KTOE,A,2014,583.051,
HUN,OILPROD,TOT,KTOE,A,2015,621.988,
HUN,OILPROD,TOT,KTOE,A,2016,710.844,
HUN,OILPROD,TOT,KTOE,A,2017,724.821,
ISL,OILPROD,TOT,KTOE,A,2000,0,
ISL,OILPROD,TOT,KTOE,A,2001,0,
ISL,OILPROD,TOT,KTOE,A,2002,0,
ISL,OILPROD,TOT,KTOE,A,2003,0,
ISL,OILPROD,TOT,KTOE,A,2004,0,
ISL,OILPROD,TOT,KTOE,A,2005,0,
ISL,OILPROD,TOT,KTOE,A,2006,0,
ISL,OILPROD,TOT,KTOE,A,2007,0,
ISL,OILPROD,TOT,KTOE,A,2008,0,
ISL,OILPROD,TOT,KTOE,A,2009,0,
ISL,OILPROD,TOT,KTOE,A,2010,0,
ISL,OILPROD,TOT,KTOE,A,2011,0,
ISL,OILPROD,TOT,KTOE,A,2012,0,
ISL,OILPROD,TOT,KTOE,A,2013,0,
ISL,OILPROD,TOT,KTOE,A,2014,0,
ISL,OILPROD,TOT,KTOE,A,2015,0,
ISL,OILPROD,TOT,KTOE,A,2016,0,
ISL,OILPROD,TOT,KTOE,A,2017,0,
IRL,OILPROD,TOT,KTOE,A,2000,0,
IRL,OILPROD,TOT,KTOE,A,2001,0,
IRL,OILPROD,TOT,KTOE,A,2002,0,
IRL,OILPROD,TOT,KTOE,A,2003,0,
IRL,OILPROD,TOT,KTOE,A,2004,0,
IRL,OILPROD,TOT,KTOE,A,2005,0,
IRL,OILPROD,TOT,KTOE,A,2006,0,
IRL,OILPROD,TOT,KTOE,A,2007,0,
IRL,OILPROD,TOT,KTOE,A,2008,0,
IRL,OILPROD,TOT,KTOE,A,2009,0,
IRL,OILPROD,TOT,KTOE,A,2010,0,
IRL,OILPROD,TOT,KTOE,A,2011,0,
IRL,OILPROD,TOT,KTOE,A,2012,0,
IRL,OILPROD,TOT,KTOE,A,2013,0,
IRL,OILPROD,TOT,KTOE,A,2014,0,
IRL,OILPROD,TOT,KTOE,A,2015,0,
